lake,location,date,cond,pH,Ca,Mg,Na,K,NH4,SO4,NO3,PO4,SiO2,DOC,TDN,DON,Chl_a,TP
fern,hypo,7/22/2021,19.95,6.87,1.82,0.57,1.06,0.38,0.11,2.57,0.12,0.01,1.69,2.24,0.18,0.06,5.07,23.1
fern,hypo,9/17/2021,16.47,6.8,1.56,0.5,0.71,0.24,0.06,1.77,0.38,0.01,4.57,1.73,0.27,0.14,6.36,11.3
fern,surface,7/22/2021,12.58,6.76,1.3,0.23,0.69,0.17,0.05,1.22,0.55,0.01,2.62,1.16,0.31,0.15,1.68,3.75
fern,surface,9/17/2021,13.95,6.88,1.58,0.26,0.67,0.23,0.04,1.66,0.33,0.01,2.39,1.47,0.29,0.18,1.96,5.02
fern,outlet,5/13/2021,34.84,6.78,3.99,0.76,1.11,0.48,0.02,6.38,1.61,0.01,4.57,3.26,0.76,0.38,0.58,5.33
fern,outlet,7/22/2021,12.04,6.76,1.21,0.25,0.63,0.14,0.04,1.27,0.53,0.01,2.26,1.96,0.32,0.17,2.62,2.84
fern,outlet,9/17/2021,15.76,6.83,1.67,0.44,0.69,0.26,0.03,1.76,0.51,0.01,2.1,2.82,0.44,0.3,2.99,7.97
odessa,outlet,5/13/2021,16.75,6.69,1.81,0.33,0.57,0.27,0.04,1.71,1.34,0.01,4.03,2.19,0.39,0.06,0.11,2.66
odessa,outlet,7/22/2021,11.08,6.72,1.27,0.18,0.57,0.11,0.04,1,0.69,0.01,2.01,0.91,0.35,0.17,1.09,2.52
odessa,outlet,9/17/2021,12.34,6.7,1.24,0.15,0.68,0.21,0.03,1.42,0.73,0.01,2.55,1.04,0.41,0.22,3.86,6.46
fern,outlet,5/6/2022,36.26,6.75,4.72,0.58,1.28,0.53,0.04,6.34,1.64,0.01,4.49,1.96,1.54,1.14,2.43,1.5
odessa,outlet,5/6/2022,18.71,6.66,1.71,0.28,0.65,0.43,0.02,1.6,1.7,0.01,4.33,2.11,0.75,0.35,0.91,1.64
fern,outlet,7/19/2022,10.25,6.79,1.22,0.18,0.52,0.18,0.05,0.81,0.5,0.01,1.99,1.61,0.56,0.41,2.15,1.28
fern,outlet,7/19/2022,10.57,6.78,1.2,0.18,0.49,0.17,0.05,0.77,0.49,0.01,2.11,1.63,0.55,0.4,1.87,1.3
odessa,outlet,7/19/2022,11.71,6.67,1.46,0.26,0.47,0.16,0.03,0.93,0.66,0.01,2.33,0.94,0.39,0.22,0.74,1.73
fern,surface,7/19/2022,11.92,6.74,1.62,0.23,0.51,0.2,0.07,0.82,0.52,0.01,1.81,1.21,0.3,0.13,2.86,1.31
fern,hypo,7/19/2022,24.71,6.92,2.48,0.72,1.07,0.39,0.08,2.07,1.16,0.01,4.59,2.11,0.39,0.07,7,11.7
odessa,outlet,9/8/2022,16.1,6.7,2.09,0.29,0.7,0.2,0.07,1.26,1.05,0.01,0.44,1.24,0.45,0.16,3.09,1.46
fern,outlet,9/8/2022,17.09,6.79,2.15,0.39,0.75,0.27,0.08,1.37,0.88,0.01,1.9,2.23,0.41,0.15,3.01,1.75
fern,surface,9/8/2022,14.94,6.74,1.85,0.21,0.67,0.23,0.05,1.37,0.61,0.01,1.81,1.44,0.29,0.11,2.98,3.22
fern,hypo,9/8/2022,20.96,6.87,2.14,0.59,0.79,0.24,0.06,2.18,1.33,0.01,4.08,1.66,0.46,0.11,11.9,6.56
fern,outlet,5/18/2023,13.00,6.72,1.98,0.23,0.52,0.16,0.03,0.58,0.38,0.00,,4.22,1.21,1.10,,
fern,outlet,7/27/2023,13.51,6.75,1.89,0.23,0.51,0.15,0.03,0.58,0.39,0.00,,1.78,0.35,0.24,,
fern,blank,7/27/2023,1.38,5.50,0.02,0.00,0.01,0.01,0.00,0.01,0.00,0.00,,0.04,0.02,0.01,,
fern,hypo,7/27/2023,23.86,6.91,2.59,0.75,0.98,0.31,0.13,1.37,1.66,0.00,,0.79,0.49,0.01,,
fern,surface,7/27/2023,11.22,6.79,1.19,0.21,0.70,0.20,0.02,1.05,0.52,0.00,,0.63,0.25,0.12,,
fern,hypo,9/6/2023,15.75,6.73,1.47,0.37,0.80,0.23,0.13,1.38,0.78,0.00,,1.20,0.34,0.07,,
fern,outlet,9/6/2023,13.88,6.76,1.58,0.32,0.62,0.17,0.03,1.15,0.55,0.00,,1.87,0.32,0.18,,
fern,blank,9/6/2023,13.91,6.72,1.62,0.33,0.62,0.19,0.03,1.16,0.55,0.00,,1.91,0.33,0.19,,
fern,surface,9/6/2023,14.53,6.81,1.76,0.30,0.68,0.23,0.03,1.16,0.56,0.00,,1.03,0.19,0.04,,
